Fecha,Irradiancia,Tambiente,Tmodulo,Potencia
2022-01-01 06:00:00,0.0,18.216666666666665,17.133333333333333,0.0
2022-01-01 07:00:00,9.2,18.7,17.5,0.01
2022-01-01 08:00:00,236.3,25.9,23.6,0.5
2022-01-01 09:00:00,481.4,26.4,34.1,1.02
2022-01-01 10:00:00,659.9,29.6,40.6,1.39
2022-01-01 11:00:00,748.3,30.4,43.0,1.64
2022-01-01 12:00:00,932.0,30.9,48.5,1.69
2022-01-01 13:00:00,916.2,29.3,47.1,1.68
2022-01-01 14:00:00,206.4,29.9,46.5,0.56
2022-01-01 15:00:00,628.9,30.7,39.2,1.33
2022-01-01 16:00:00,403.0,29.1,34.6,0.79
2022-01-01 17:00:00,28.5,25.9,28.5,0.08
2022-01-01 18:00:00,215.68708986580583,23.5,22.0,0.01
2022-01-01 19:00:00,0.0,22.2,20.1,0.0
2022-01-02 06:00:00,0.0,17.9,16.6,0.0
2022-01-02 07:00:00,9.2,18.1,16.5,0.02
2022-01-02 08:00:00,216.4,27.0,23.0,0.48
2022-01-02 09:00:00,465.0,26.8,34.2,1.0
2022-01-02 10:00:00,659.9,29.1,38.4,1.4
2022-01-02 11:00:00,741.8,30.6,42.9,1.63
2022-01-02 12:00:00,816.7,31.8,47.6,1.73
2022-01-02 13:00:00,829.6,29.6,48.0,1.68
2022-01-02 14:00:00,722.6,31.3,49.8,1.48
2022-01-02 15:00:00,574.5,33.5,47.9,1.2
2022-01-02 16:00:00,404.2,30.3,36.6,0.79
2022-01-02 17:00:00,27.9,26.4,29.0,0.08
2022-01-02 18:00:00,215.68708986580583,23.7,22.0,0.01
2022-01-02 19:00:00,0.0,22.1,20.6,0.0
2022-01-03 06:00:00,0.0,17.5,16.5,0.0
2022-01-03 07:00:00,9.2,17.4,16.2,0.01
2022-01-03 08:00:00,224.5,24.3,22.4,0.48
2022-01-03 09:00:00,466.8,26.1,35.8,0.99
2022-01-03 10:00:00,646.4,28.9,43.5,1.35
2022-01-03 11:00:00,726.0,33.0,51.0,1.56
2022-01-03 12:00:00,862.3,32.3,55.0,1.76
2022-01-03 13:00:00,842.4,30.6,54.1,1.66
2022-01-03 14:00:00,733.0,31.1,53.0,1.48
2022-01-03 15:00:00,577.9,33.0,45.2,1.23
2022-01-03 16:00:00,421.2,31.1,38.8,0.81
2022-01-03 17:00:00,19.1,26.2,30.3,0.06
2022-01-03 18:00:00,215.68708986580583,23.0,21.1,0.01
2022-01-03 19:00:00,0.0,21.4,19.0,0.0
2022-01-04 06:00:00,0.0,18.8,17.8,0.0
2022-01-04 07:00:00,9.2,18.86666666666667,17.76666666666667,0.016
2022-01-04 08:00:00,229.41666666666663,26.08333333333333,23.53333333333333,0.49
2022-01-04 09:00:00,474.31666666666666,26.916666666666668,34.85,1.0016666666666667
2022-01-04 10:00:00,654.3166666666667,29.33333333333333,40.833333333333336,1.3416666666666666
2022-01-04 11:00:00,661.9499999999999,30.433333333333334,44.133333333333326,1.4516666666666669
2022-01-04 12:00:00,724.8000000000001,30.73333333333333,47.51666666666667,1.5366666666666668
2022-01-04 13:00:00,771.5500000000001,29.9,47.833333333333336,1.63
2022-01-04 14:00:00,598.1833333333333,30.33333333333333,47.15,1.3583333333333336
2022-01-04 15:00:00,527.6333333333333,31.28333333333333,42.28333333333334,1.0933333333333335
2022-01-04 16:00:00,362.4500000000001,29.950000000000003,36.5,0.7183333333333334
2022-01-04 17:00:00,23.116666666666664,26.116666666666664,29.01666666666667,0.0683333333333333
2022-01-04 18:00:00,215.68708986580583,23.316666666666663,21.616666666666664,0.01
2022-01-04 19:00:00,0.0,22.28333333333333,20.266666666666666,0.0
2022-01-05 06:00:00,0.0,17.4,16.0,0.0
2022-01-05 07:00:00,9.2,18.0,16.1,0.01
2022-01-05 08:00:00,211.7,26.5,24.0,0.5
2022-01-05 09:00:00,480.2,28.0,35.5,1.01
2022-01-05 10:00:00,658.7,30.1,41.3,1.37
2022-01-05 11:00:00,746.5,32.9,50.2,1.59
2022-01-05 12:00:00,913.9,31.6,49.5,1.88
2022-01-05 13:00:00,824.3,30.7,54.6,1.85
2022-01-05 14:00:00,242.1,28.3,38.3,0.47
2022-01-05 15:00:00,111.0,28.0,35.5,0.24
2022-01-05 16:00:00,412.4,29.6,35.9,0.81
2022-01-05 17:00:00,22.6,25.7,28.7,0.07
