,Fecha,Irradiancia,Tambiente,Tmodulo,Potencia
0,2023-01-01 06:00:00,0.7,22.4,18.5,0.0
1,2023-01-01 07:00:00,59.1,22.4,20.7,0.08
2,2023-01-01 08:00:00,254.7,29.5,30.8,0.09
3,2023-01-01 09:00:00,450.7,29.8,43.9,0.88
4,2023-01-01 10:00:00,596.1,30.0,46.8,1.1
5,2023-01-01 11:00:00,757.7,31.9,49.5,1.26
6,2023-01-01 12:00:00,797.1,31.5,42.4,1.3
7,2023-01-01 13:00:00,797.2,32.6,45.5,0.63
8,2023-01-01 14:00:00,349.6,31.6,41.4,0.76
9,2023-01-01 15:00:00,99.1,30.2,34.5,0.16
10,2023-01-01 16:00:00,30.6,29.0,30.0,0.04
11,2023-01-01 17:00:00,39.3,26.7,27.4,0.04
12,2023-01-01 18:00:00,0.0,24.7,22.9,0.0
13,2023-01-01 19:00:00,0.3,24.9,21.5,0.0
14,2023-01-02 06:00:00,0.0,21.0,18.2,0.0
15,2023-01-02 07:00:00,80.9,21.8,21.7,0.1
16,2023-01-02 08:00:00,261.7,25.1,31.4,0.54
17,2023-01-02 09:00:00,454.5,28.2,41.7,0.87
18,2023-01-02 10:00:00,157.2,29.6,41.6,1.21
19,2023-01-02 11:00:00,779.1,30.6,38.8,0.41
20,2023-01-02 12:00:00,332.4,30.2,38.6,0.53
21,2023-01-02 13:00:00,383.3,27.4,31.6,1.03
22,2023-01-02 14:00:00,268.0,29.3,41.2,0.38
23,2023-01-02 15:00:00,102.7,25.8,26.3,0.14
24,2023-01-02 16:00:00,59.6,26.7,27.3,0.09
25,2023-01-02 17:00:00,27.2,27.2,26.2,0.03
26,2023-01-02 18:00:00,0.0,26.0,23.1,0.0
27,2023-01-02 19:00:00,0.0,25.4,22.2,0.0
28,2023-01-03 06:00:00,0.0,22.1,20.0,0.0
29,2023-01-03 07:00:00,51.6,22.0,20.8,0.08
30,2023-01-03 08:00:00,260.8,25.8,32.1,0.24
31,2023-01-03 09:00:00,455.6,28.9,42.3,0.88
32,2023-01-03 10:00:00,711.4,30.1,47.8,1.25
33,2023-01-03 11:00:00,692.2,31.0,46.5,0.81
34,2023-01-03 12:00:00,115.0,29.8,33.5,0.17
35,2023-01-03 13:00:00,800.8,31.4,38.5,1.43
36,2023-01-03 14:00:00,216.2,31.5,38.6,0.56
37,2023-01-03 15:00:00,340.1,31.9,39.2,0.87
38,2023-01-03 16:00:00,267.9,30.9,35.5,0.42
39,2023-01-03 17:00:00,60.4,29.4,29.5,0.06
40,2023-01-03 18:00:00,0.0,26.5,25.0,0.0
41,2023-01-03 19:00:00,0.0,0.0,0.0,0.0
42,2023-01-04 06:00:00,0.0,19.7,16.9,0.0
43,2023-01-04 07:00:00,58.5,19.5,17.7,0.08
44,2023-01-04 08:00:00,265.8,24.7,29.9,0.48
45,2023-01-04 09:00:00,467.5,26.2,41.2,0.89
46,2023-01-04 10:00:00,621.1,29.4,44.5,1.12
47,2023-01-04 11:00:00,750.7,30.6,46.4,1.31
48,2023-01-04 12:00:00,693.4,31.0,45.9,1.27
49,2023-01-04 13:00:00,767.5,31.6,48.1,1.25
50,2023-01-04 14:00:00,679.4,30.8,39.2,1.14
51,2023-01-04 15:00:00,511.8,31.2,39.0,0.88
52,2023-01-04 16:00:00,277.7,30.5,35.4,0.35
53,2023-01-04 17:00:00,68.6,28.5,29.2,0.07
54,2023-01-04 18:00:00,0.0,26.4,24.8,0.0
55,2023-01-04 19:00:00,0.0,25.2,22.6,0.0
56,2023-01-05 06:00:00,0.0,20.6,17.2,0.0
57,2023-01-05 07:00:00,56.6,20.6,19.6,0.08
58,2023-01-05 08:00:00,255.1,25.3,31.9,0.24
59,2023-01-05 09:00:00,452.2,28.6,42.0,0.87
60,2023-01-05 10:00:00,597.3,30.9,46.9,1.08
61,2023-01-05 11:00:00,763.0,31.3,47.0,1.27
62,2023-01-05 12:00:00,185.8,31.5,38.5,0.42
63,2023-01-05 13:00:00,867.0,32.5,46.8,0.99
64,2023-01-05 14:00:00,442.1,32.1,42.2,0.97
65,2023-01-05 15:00:00,498.7,31.6,40.8,0.85
66,2023-01-05 16:00:00,330.2,29.5,31.3,0.14
67,2023-01-05 17:00:00,14.7,28.5,28.6,0.02
68,2023-01-05 18:00:00,0.0,27.1,25.0,0.0
69,2023-01-05 19:00:00,0.0,26.1,22.5,0.0
70,2023-01-06 06:00:00,0.0,19.6,16.8,0.0
71,2023-01-06 07:00:00,46.9,20.3,18.2,0.08
72,2023-01-06 08:00:00,247.5,23.5,28.5,0.4
73,2023-01-06 09:00:00,440.9,27.1,41.2,0.86
74,2023-01-06 10:00:00,590.9,30.0,47.5,1.09
75,2023-01-06 11:00:00,714.4,32.5,51.7,1.12
76,2023-01-06 12:00:00,160.3,30.7,43.9,1.29
77,2023-01-06 13:00:00,888.4,28.8,36.6,1.52
78,2023-01-06 14:00:00,27.0,22.2,22.4,0.05
79,2023-01-06 15:00:00,73.9,22.4,22.9,0.1
80,2023-01-06 16:00:00,58.3,23.4,24.5,0.1
81,2023-01-06 17:00:00,23.5,23.5,23.4,0.04
82,2023-01-06 18:00:00,0.0,23.9,22.1,0.0
83,2023-01-06 19:00:00,0.0,22.9,20.9,0.0
84,2023-01-07 06:00:00,0.6,20.2,17.4,0.0
85,2023-01-07 07:00:00,40.1,20.5,18.1,0.08
86,2023-01-07 08:00:00,297.1,24.1,28.2,0.49
87,2023-01-07 09:00:00,449.9,27.0,38.8,0.88
88,2023-01-07 10:00:00,595.5,29.6,47.5,0.93
89,2023-01-07 11:00:00,760.3,31.8,53.1,1.21
90,2023-01-07 12:00:00,233.3,29.6,47.2,0.34
91,2023-01-07 13:00:00,458.4,29.9,40.4,0.54
92,2023-01-07 14:00:00,58.0,25.5,25.6,0.24
93,2023-01-07 15:00:00,171.6,25.9,30.1,0.88
94,2023-01-07 16:00:00,284.7,29.5,35.7,0.48
95,2023-01-07 17:00:00,63.8,30.3,28.0,0.04
96,2023-01-07 18:00:00,0.0,25.4,22.4,0.0
97,2023-01-07 19:00:00,1.2,24.9,21.4,0.0
98,2023-01-08 06:00:00,0.0,21.9,19.4,0.0
99,2023-01-08 07:00:00,42.0,21.7,20.0,0.08
100,2023-01-08 08:00:00,249.9,25.1,28.4,0.45
101,2023-01-08 09:00:00,448.8,27.5,39.5,0.88
102,2023-01-08 10:00:00,410.4,29.3,40.1,1.0
103,2023-01-08 11:00:00,797.4,29.7,45.0,0.5
104,2023-01-08 12:00:00,764.1,30.9,45.9,1.29
105,2023-01-08 13:00:00,728.1,31.1,45.3,1.24
106,2023-01-08 14:00:00,636.0,31.5,43.9,1.08
107,2023-01-08 15:00:00,491.8,31.3,39.9,0.84
108,2023-01-08 16:00:00,293.3,30.7,35.5,0.41
109,2023-01-08 17:00:00,79.2,28.6,29.0,0.08
110,2023-01-08 18:00:00,0.0,26.2,23.8,0.0
111,2023-01-08 19:00:00,0.0,24.6,21.4,0.0
112,2023-01-09 06:00:00,0.8,20.5,17.5,0.0
113,2023-01-09 07:00:00,45.1,20.2,18.7,0.07
114,2023-01-09 08:00:00,244.1,26.7,27.8,0.37
115,2023-01-09 09:00:00,441.1,28.6,41.6,0.85
116,2023-01-09 10:00:00,593.2,29.9,47.4,1.08
117,2023-01-09 11:00:00,707.6,29.7,51.3,1.19
118,2023-01-09 12:00:00,175.3,31.0,45.6,0.97
119,2023-01-09 13:00:00,758.9,32.8,51.1,1.16
120,2023-01-09 14:00:00,529.1,30.9,43.5,0.5
121,2023-01-09 15:00:00,490.6,29.7,40.3,0.8
122,2023-01-09 16:00:00,298.7,30.4,36.7,0.52
123,2023-01-09 17:00:00,95.9,28.6,30.3,0.1
124,2023-01-09 18:00:00,0.0,26.8,25.6,0.0
125,2023-01-09 19:00:00,0.17142857142857143,25.0,23.0,0.0
126,2023-01-10 06:00:00,0.19999999999999998,20.657142857142855,17.885714285714283,0.0
127,2023-01-10 07:00:00,35.4,20.6,19.0,0.07
128,2023-01-10 08:00:00,238.2,25.0,28.2,0.24
129,2023-01-10 09:00:00,450.3,28.3,41.6,0.61
130,2023-01-10 10:00:00,597.9,30.5,46.9,1.03
131,2023-01-10 11:00:00,735.9,30.6,46.3,1.02
132,2023-01-10 12:00:00,780.0,30.8,53.1,1.3
133,2023-01-10 13:00:00,754.9,32.1,51.7,1.22
134,2023-01-10 14:00:00,732.1,33.7,52.9,1.19
135,2023-01-10 15:00:00,583.2,30.2,39.9,0.96
136,2023-01-10 16:00:00,68.7,27.3,26.8,0.1
137,2023-01-10 17:00:00,49.5,24.6,25.2,0.05
138,2023-01-10 18:00:00,0.0,23.7,23.0,0.0
139,2023-01-10 19:00:00,0.19591836734693877,25.3,22.4,0.0
140,2023-01-11 06:00:00,0.2285714285714286,20.451020408163263,17.583673469387755,0.0
141,2023-01-11 07:00:00,31.7,19.4,18.1,0.07
142,2023-01-11 08:00:00,233.2,23.7,28.3,0.43
143,2023-01-11 09:00:00,453.4,26.0,39.3,0.79
144,2023-01-11 10:00:00,588.6,27.8,45.6,1.06
145,2023-01-11 11:00:00,633.3,30.8,51.1,0.7
146,2023-01-11 12:00:00,564.8,30.1,47.5,0.24
147,2023-01-11 13:00:00,810.2,31.4,48.4,1.3
148,2023-01-11 14:00:00,679.6,30.7,44.4,1.1
149,2023-01-11 15:00:00,622.8,29.8,38.3,0.14
150,2023-01-11 16:00:00,58.2,24.5,23.8,0.12
151,2023-01-11 17:00:00,35.4,22.4,23.0,0.04
152,2023-01-11 18:00:00,0.0,22.6,20.8,0.0
153,2023-01-11 19:00:00,0.2239067055393586,23.4,20.2,0.0
154,2023-01-12 06:00:00,0.2612244897959184,19.9,18.0,0.0
155,2023-01-12 07:00:00,59.6,21.3,20.3,0.1
156,2023-01-12 08:00:00,243.4,26.5,31.1,0.44
157,2023-01-12 09:00:00,132.8,28.7,39.2,0.19
158,2023-01-12 10:00:00,631.7,29.5,43.2,0.91
159,2023-01-12 11:00:00,804.9,29.5,42.0,0.38
160,2023-01-12 12:00:00,199.6,28.6,31.2,0.35
161,2023-01-12 13:00:00,463.2,27.7,36.9,0.33
162,2023-01-12 14:00:00,650.9,30.7,44.9,0.53
163,2023-01-12 15:00:00,638.7,31.1,40.2,1.04
164,2023-01-12 16:00:00,380.7,30.0,34.5,0.61
